channel,id,url,timespan,text,image,likes,comments,shares
NBCNews,4212787505407914,https://m.facebook.com/story.php?story_fbid=4212787505407914&id=155869377766434,22.45027777777777,Broadway star Nick Cordero's wife on his coronavirus leg amputation: 'It was life or leg',1.0,76.0,51.0,53
NBCNews,4212749462078385,https://m.facebook.com/story.php?story_fbid=4212749462078385&id=155869377766434,22.7175,"She's a doctor on the front lines of the coronavirus. At home, she has no running water.",1.0,64.0,30.0,78
NBCNews,4212714728748525,https://m.facebook.com/story.php?story_fbid=4212714728748525&id=155869377766434,22.95027777777777,Facebook releases county-by-county maps of COVID-19 symptoms,1.0,183.0,42.0,84
NBCNews,4212626242090707,https://m.facebook.com/story.php?story_fbid=4212626242090707&id=155869377766434,23.532222222222227,How many people have had coronavirus with no symptoms?,1.0,149.0,55.0,99
NBCNews,4212332705453394,https://m.facebook.com/story.php?story_fbid=4212332705453394&id=155869377766434,1.7341666666666666,Reality bites: Candidates sidelined by coronavirus try transforming into small-screen stars,1.0,37.0,23.0,5
NBCNews,4212247958795202,https://m.facebook.com/story.php?story_fbid=4212247958795202&id=155869377766434,2.4327777777777784,'The Last Dance' begins: Michael Jordan's career gets long-awaited retelling,1.0,231.0,13.0,32
NBCNews,4212181362135195,https://m.facebook.com/story.php?story_fbid=4212181362135195&id=155869377766434,3.033333333333333,"She's a doctor on the front lines of the coronavirus. At home, she has no running water.",1.0,47.0,12.0,45
NBCNews,4212062208813777,https://m.facebook.com/story.php?story_fbid=4212062208813777&id=155869377766434,4.050555555555556,"She's a doctor on the front lines of the coronavirus. At home, she has no running water.",1.0,30.0,11.0,37
NBCNews,4212036818816316,https://m.facebook.com/story.php?story_fbid=4212036818816316&id=155869377766434,4.283888888888889,Shake Shack returning $10 million government loan meant for small businesses,1.0,2722.0,185.0,799
NBCNews,4211934392159892,https://m.facebook.com/story.php?story_fbid=4211934392159892&id=155869377766434,5.050833333333333,"She's a doctor on the front lines of the coronavirus. At home, she has no running water.",1.0,39.0,13.0,47
NBCNews,4211821632171168,https://m.facebook.com/story.php?story_fbid=4211821632171168&id=155869377766434,6.250555555555557,NJ woman who organized protest charged with violating stay-at-home orders,1.0,1624.0,151.0,274
NBCNews,4211701812183150,https://m.facebook.com/story.php?story_fbid=4211701812183150&id=155869377766434,7.682777777777778,"She's a doctor on the front lines of the coronavirus. At home, she has no running water.",1.0,148.0,42.0,223
NBCNews,4211469018873096,https://m.facebook.com/story.php?story_fbid=4211469018873096&id=155869377766434,9.972777777777775,"16 dead, including officer, in shooting, Canadian authorities say",1.0,93.0,35.0,161
NBCNews,4211185125568152,https://m.facebook.com/story.php?story_fbid=4211185125568152&id=155869377766434,12.650833333333333,"Canadian authorities say at least 10 people, including officer, were killed in mass shooting",1.0,185.0,72.0,438
NBCNews,4210987638921234,https://m.facebook.com/story.php?story_fbid=4210987638921234&id=155869377766434,14.266944444444444,What a renowned infectious diseases doctor learned when he got COVID-19,1.0,130.0,29.0,87
